direction,horizon,min_prob,trades,win_rate,sharpe,total_return,max_dd,unstable
long,1920,0.97,23,0.6086956521739131,4.730746102034358,0.19038832187652588,0.05097073316574097,False
long,480,0.97,31,0.6129032258064516,5.366865902411333,0.09810066223144531,0.06330054998397827,False
long,240,0.97,32,0.53125,10.51739752111524,0.07734429836273193,0.019347667694091797,False
long,1920,0.95,99,0.46464646464646464,0.33525716697462804,0.028534412384033203,0.1263250708580017,False
long,120,0.97,33,0.5757575757575758,6.712141565223363,0.026349425315856934,0.020057499408721924,False
long,960,0.97,29,0.5517241379310345,0.7620048897691782,0.017565369606018066,0.11557722091674805,False
long,240,0.975,2,1.0,37.656291460587184,0.010950446128845215,-0.0,False
long,60,0.97,34,0.4411764705882353,5.622286925744049,0.008815288543701172,0.01698017120361328,False
long,120,0.975,2,1.0,57.75899643758079,0.006120920181274414,-0.0,False
long,60,0.975,2,0.5,20.085732008544234,0.0006558895111083984,-0.0,False
long,1920,0.975,2,0.5,0.219525352045832,0.0005096197128295898,-0.0,False
long,60,0.98,0,,,0.0,0.0,False
long,120,0.98,0,,,0.0,0.0,False
long,240,0.98,0,,,0.0,0.0,False
long,480,0.98,0,,,0.0,0.0,False
long,960,0.98,0,,,0.0,0.0,False
long,1920,0.98,0,,,0.0,0.0,False
long,480,0.975,2,0.5,-2.922525152082578,-0.006265997886657715,-0.0,False
long,960,0.975,2,0.5,-2.509790872233152,-0.008376717567443848,-0.0,False
long,480,0.95,281,0.498220640569395,-0.5365877774202311,-0.07859092950820923,0.17131787538528442,False
long,960,0.95,179,0.4860335195530726,-0.49308939720546935,-0.08776301145553589,0.19384968280792236,False
long,240,0.95,414,0.4758454106280193,-2.6522302297689246,-0.23078644275665283,0.2551894187927246,False
long,120,0.95,565,0.47079646017699117,-5.180475033539177,-0.27852964401245117,0.3066757917404175,False
long,60,0.95,742,0.4339622641509434,-12.88465256182138,-0.4120792746543884,0.4118366241455078,False
